round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0948,2.3308,0.071,0.014294,11347800,11347800,0
2,0.1002,2.3383,0.0746,0.022575,11347800,11347800,0
3,0.1028,2.3278,0.0765,0.020599,11347800,11347800,0
4,0.1078,2.3131,0.0775,0.020098,11347800,11347800,0
5,0.1076,2.3079,0.0786,0.019854,11347800,11347800,0
6,0.1116,2.2971,0.0826,0.018991,11347800,11347800,0
7,0.1196,2.2938,0.0916,0.017451,11347800,11347800,0
8,0.1214,2.2802,0.1002,0.017605,11347800,11347800,0
9,0.1262,2.2807,0.1082,0.017666,11347800,11347800,0
10,0.1246,2.272,0.1076,0.019323,11347800,11347800,0
11,0.1354,2.2675,0.115,0.015871,11347800,11347800,0
12,0.1368,2.2568,0.1178,0.017157,11347800,11347800,0
13,0.144,2.2558,0.124,0.017614,11347800,11347800,0
14,0.1392,2.2413,0.1149,0.016737,11347800,11347800,0
15,0.146,2.2443,0.1277,0.018303,11347800,11347800,0
16,0.1486,2.2315,0.1285,0.016153,11347800,11347800,0
17,0.1648,2.2239,0.1446,0.013513,11347800,11347800,0
18,0.1696,2.2174,0.1485,0.014981,11347800,11347800,0
19,0.1836,2.2139,0.1565,0.011477,11347800,11347800,0
20,0.1784,2.2061,0.1453,0.012169,11347800,11347800,0
21,0.1918,2.1992,0.1666,0.010843,11347800,11347800,0
22,0.2164,2.1903,0.1823,0.0053,11347800,11347800,0
23,0.205,2.1901,0.1825,0.009702,11347800,11347800,0
24,0.2154,2.179,0.1868,0.006247,11347800,11347800,0
25,0.213,2.1752,0.1813,0.007675,11347800,11347800,0
26,0.222,2.167,0.1983,0.005815,11347800,11347800,0
27,0.2216,2.163,0.2001,0.00703,11347800,11347800,0
28,0.2224,2.1576,0.2033,0.00661,11347800,11347800,0
29,0.2236,2.1549,0.2033,0.009417,11347800,11347800,0
30,0.2286,2.1483,0.2044,0.005949,11347800,11347800,0
31,0.2328,2.1409,0.2104,0.006883,11347800,11347800,0
32,0.227,2.1385,0.2115,0.005707,11347800,11347800,0
33,0.2344,2.1335,0.2154,0.00708,11347800,11347800,0
34,0.2358,2.1307,0.2149,0.005697,11347800,11347800,0
35,0.2346,2.1269,0.2229,0.008628,11347800,11347800,0
36,0.2302,2.123,0.2175,0.006726,11347800,11347800,0
37,0.235,2.119,0.2157,0.006187,11347800,11347800,0
38,0.2336,2.1156,0.2152,0.005234,11347800,11347800,0
39,0.2466,2.1108,0.228,0.006022,11347800,11347800,0
40,0.239,2.1095,0.2253,0.005929,11347800,11347800,0
41,0.2456,2.1057,0.2239,0.007853,11347800,11347800,0
42,0.2436,2.1042,0.2253,0.00623,11347800,11347800,0
43,0.2508,2.0984,0.2309,0.0063,11347800,11347800,0
44,0.249,2.1005,0.2283,0.007256,11347800,11347800,0
45,0.2492,2.0971,0.2284,0.005841,11347800,11347800,0
46,0.2422,2.0982,0.2266,0.007562,11347800,11347800,0
47,0.2494,2.0935,0.2354,0.008132,11347800,11347800,0
48,0.2512,2.0919,0.2325,0.007946,11347800,11347800,0
49,0.2542,2.0872,0.2349,0.009702,11347800,11347800,0
50,0.2458,2.0871,0.2228,0.00692,11347800,11347800,0
51,0.2534,2.0847,0.2368,0.008786,11347800,11347800,0
52,0.2484,2.0821,0.2309,0.007697,11347800,11347800,0
53,0.2458,2.0791,0.2291,0.006611,11347800,11347800,0
54,0.2504,2.0764,0.2342,0.005874,11347800,11347800,0
55,0.25,2.0764,0.2319,0.006325,11347800,11347800,0
56,0.2478,2.0782,0.2239,0.006761,11347800,11347800,0
57,0.252,2.0716,0.2309,0.006406,11347800,11347800,0
58,0.2558,2.0662,0.2397,0.006759,11347800,11347800,0
59,0.261,2.0665,0.2435,0.005559,11347800,11347800,0
60,0.2566,2.0662,0.2391,0.005989,11347800,11347800,0
