epoch,lr,test_acc,test_loss
1,0.01,0.1756,2.4066
2,0.009973,0.308,1.8946
3,0.009891,0.32,1.8891
4,0.009755,0.3572,1.8203
5,0.009568,0.385,1.6981
6,0.00933,0.4054,1.6884
7,0.009045,0.4298,1.5815
8,0.008716,0.41,1.6268
9,0.008346,0.4288,1.5643
10,0.007939,0.462,1.4814
11,0.0075,0.4598,1.5012
12,0.007034,0.4536,1.5156
13,0.006545,0.4658,1.4795
14,0.00604,0.426,1.6006
15,0.005523,0.4378,1.6268
16,0.005,0.4592,1.4702
17,0.004477,0.4762,1.4474
18,0.00396,0.4714,1.4588
19,0.003455,0.4782,1.4479
20,0.002966,0.4778,1.4532
21,0.0025,0.4896,1.4237
22,0.002061,0.482,1.4499
23,0.001654,0.4812,1.4608
24,0.001284,0.4896,1.4291
25,0.000955,0.4908,1.4364
26,0.00067,0.4996,1.4214
27,0.000432,0.4974,1.4212
28,0.000245,0.4974,1.4186
29,0.000109,0.4968,1.4183
30,2.7e-05,0.497,1.4179
