epoch,test_acc,test_loss
1,0.2812,2.0133
2,0.2468,2.0673
3,0.3486,1.8276
4,0.2762,1.9288
5,0.3622,1.7466
6,0.3906,1.6637
7,0.3712,1.7438
8,0.367,1.7133
9,0.41,1.6692
10,0.4214,1.6084
11,0.4382,1.5425
12,0.458,1.5161
13,0.3002,2.0254
14,0.4216,1.6294
15,0.4536,1.535
16,0.44,1.5832
17,0.4364,1.6126
18,0.4644,1.5051
19,0.4084,1.7178
20,0.4632,1.529
21,0.473,1.528
22,0.416,1.7102
23,0.4432,1.6322
24,0.4634,1.5699
25,0.3984,1.9197
26,0.4566,1.654
27,0.3608,2.216
28,0.3362,2.3594
29,0.4224,1.8576
30,0.4324,1.8567
