round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0944,2.3311,0.0716,0.014555,11347800,11347800,0
2,0.1008,2.3377,0.0748,0.022934,11347800,11347800,0
3,0.1022,2.3274,0.0765,0.021911,11347800,11347800,0
4,0.105,2.3133,0.076,0.020923,11347800,11347800,0
5,0.108,2.3069,0.0809,0.020137,11347800,11347800,0
6,0.111,2.2953,0.0853,0.019417,11347800,11347800,0
7,0.1222,2.2914,0.0966,0.017357,11347800,11347800,0
8,0.123,2.2789,0.1031,0.018504,11347800,11347800,0
9,0.1262,2.278,0.1089,0.018159,11347800,11347800,0
10,0.1272,2.268,0.1077,0.019204,11347800,11347800,0
11,0.1346,2.2634,0.1167,0.017635,11347800,11347800,0
12,0.135,2.2529,0.1175,0.018178,11347800,11347800,0
13,0.1438,2.2519,0.1227,0.016662,11347800,11347800,0
14,0.1436,2.2374,0.1204,0.017463,11347800,11347800,0
15,0.149,2.2395,0.1301,0.017188,11347800,11347800,0
16,0.1544,2.2266,0.1334,0.016462,11347800,11347800,0
17,0.1632,2.2212,0.1447,0.014646,11347800,11347800,0
18,0.17,2.2126,0.1462,0.014617,11347800,11347800,0
19,0.1802,2.2089,0.1573,0.012689,11347800,11347800,0
20,0.1816,2.2007,0.1531,0.011826,11347800,11347800,0
21,0.1892,2.195,0.1722,0.01228,11347800,11347800,0
22,0.2132,2.1851,0.18,0.00596,11347800,11347800,0
23,0.1994,2.1853,0.1812,0.010944,11347800,11347800,0
24,0.2142,2.1736,0.1848,0.006748,11347800,11347800,0
25,0.2136,2.17,0.1881,0.008213,11347800,11347800,0
26,0.2194,2.1614,0.1998,0.005965,11347800,11347800,0
27,0.2192,2.1585,0.2018,0.007475,11347800,11347800,0
28,0.2246,2.1525,0.2046,0.006442,11347800,11347800,0
29,0.225,2.15,0.2082,0.008819,11347800,11347800,0
30,0.2316,2.1426,0.2069,0.005819,11347800,11347800,0
31,0.2334,2.1369,0.2159,0.006901,11347800,11347800,0
32,0.2324,2.1331,0.2142,0.005497,11347800,11347800,0
33,0.2366,2.1295,0.2198,0.007607,11347800,11347800,0
34,0.24,2.1261,0.2179,0.005462,11347800,11347800,0
35,0.2394,2.1221,0.2227,0.008016,11347800,11347800,0
36,0.2366,2.1176,0.2186,0.00571,11347800,11347800,0
37,0.242,2.1146,0.2228,0.006286,11347800,11347800,0
38,0.2392,2.1108,0.2211,0.005227,11347800,11347800,0
39,0.2454,2.1071,0.2286,0.006681,11347800,11347800,0
40,0.2444,2.1049,0.2255,0.00553,11347800,11347800,0
41,0.2488,2.1008,0.2301,0.00786,11347800,11347800,0
42,0.2496,2.0998,0.2288,0.006025,11347800,11347800,0
43,0.2548,2.0945,0.2323,0.006284,11347800,11347800,0
44,0.2484,2.096,0.231,0.007174,11347800,11347800,0
45,0.2534,2.0921,0.2324,0.006188,11347800,11347800,0
46,0.2476,2.0924,0.2278,0.006863,11347800,11347800,0
47,0.2516,2.088,0.2382,0.007898,11347800,11347800,0
48,0.249,2.0871,0.2327,0.00719,11347800,11347800,0
49,0.2568,2.0828,0.2363,0.008137,11347800,11347800,0
50,0.2498,2.0825,0.2255,0.006601,11347800,11347800,0
51,0.2556,2.0794,0.2362,0.007621,11347800,11347800,0
52,0.2516,2.0792,0.2334,0.00764,11347800,11347800,0
53,0.2508,2.0756,0.233,0.007436,11347800,11347800,0
54,0.2524,2.074,0.2328,0.006235,11347800,11347800,0
55,0.2528,2.0727,0.2353,0.006781,11347800,11347800,0
56,0.253,2.0725,0.2329,0.006844,11347800,11347800,0
57,0.2546,2.0677,0.2373,0.005869,11347800,11347800,0
58,0.261,2.0652,0.2409,0.005839,11347800,11347800,0
59,0.263,2.0637,0.2467,0.005586,11347800,11347800,0
60,0.2596,2.0647,0.2467,0.007054,11347800,11347800,0
