round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0982,2.3075,0.0987,0.002311,11347800,11347800,0
2,0.1076,2.2995,0.1042,0.003426,11347800,11347800,0
3,0.1174,2.2932,0.1128,0.004152,11347800,11347800,0
4,0.1226,2.2881,0.1157,0.004375,11347800,11347800,0
5,0.1258,2.2837,0.1194,0.004458,11347800,11347800,0
6,0.1336,2.2776,0.1275,0.004153,11347800,11347800,0
7,0.148,2.2717,0.1392,0.003924,11347800,11347800,0
8,0.1506,2.2659,0.1473,0.004136,11347800,11347800,0
9,0.1556,2.26,0.1536,0.004015,11347800,11347800,0
10,0.1588,2.2547,0.1568,0.002702,11347800,11347800,0
11,0.1652,2.2489,0.1601,0.00255,11347800,11347800,0
12,0.171,2.2428,0.1664,0.002728,11347800,11347800,0
13,0.179,2.2373,0.1704,0.002471,11347800,11347800,0
14,0.1872,2.2301,0.1794,0.002156,11347800,11347800,0
15,0.1864,2.2257,0.1805,0.002067,11347800,11347800,0
16,0.1886,2.2223,0.1803,0.001867,11347800,11347800,0
17,0.1968,2.2176,0.1866,0.001828,11347800,11347800,0
18,0.2006,2.2107,0.191,0.001926,11347800,11347800,0
19,0.2076,2.2046,0.1971,0.002138,11347800,11347800,0
20,0.216,2.1972,0.2047,0.001929,11347800,11347800,0
21,0.2176,2.192,0.208,0.001837,11347800,11347800,0
22,0.2184,2.1865,0.2088,0.001824,11347800,11347800,0
23,0.223,2.1797,0.2152,0.00196,11347800,11347800,0
24,0.2336,2.174,0.2241,0.001309,11347800,11347800,0
25,0.2324,2.1695,0.223,0.001477,11347800,11347800,0
26,0.2336,2.1649,0.2274,0.001583,11347800,11347800,0
27,0.2354,2.1585,0.2268,0.001764,11347800,11347800,0
28,0.2308,2.155,0.2306,0.002106,11347800,11347800,0
29,0.2348,2.1498,0.2302,0.001436,11347800,11347800,0
30,0.2326,2.1448,0.2303,0.002016,11347800,11347800,0
31,0.2386,2.1411,0.2328,0.001391,11347800,11347800,0
32,0.238,2.1372,0.2323,0.002105,11347800,11347800,0
33,0.2422,2.1328,0.2373,0.001921,11347800,11347800,0
34,0.2434,2.1294,0.2369,0.001839,11347800,11347800,0
35,0.2384,2.127,0.2352,0.001661,11347800,11347800,0
36,0.2476,2.122,0.2392,0.00173,11347800,11347800,0
37,0.2474,2.1189,0.2437,0.00188,11347800,11347800,0
38,0.2508,2.1151,0.2424,0.001746,11347800,11347800,0
39,0.2498,2.1093,0.242,0.001787,11347800,11347800,0
40,0.2516,2.1101,0.2441,0.002358,11347800,11347800,0
41,0.2532,2.1058,0.2442,0.00206,11347800,11347800,0
42,0.2536,2.1014,0.2478,0.001975,11347800,11347800,0
43,0.2508,2.1007,0.2437,0.001701,11347800,11347800,0
44,0.2548,2.0981,0.2464,0.001755,11347800,11347800,0
45,0.2592,2.0948,0.2472,0.001759,11347800,11347800,0
46,0.2572,2.0908,0.2487,0.001588,11347800,11347800,0
47,0.2596,2.0888,0.2507,0.001764,11347800,11347800,0
48,0.259,2.0849,0.252,0.001778,11347800,11347800,0
49,0.26,2.083,0.2526,0.001857,11347800,11347800,0
50,0.2624,2.0776,0.2559,0.001833,11347800,11347800,0
51,0.2612,2.0759,0.255,0.002052,11347800,11347800,0
52,0.2618,2.0737,0.2557,0.002096,11347800,11347800,0
53,0.2646,2.0681,0.2575,0.001728,11347800,11347800,0
54,0.266,2.0668,0.2568,0.001622,11347800,11347800,0
55,0.2636,2.0656,0.2589,0.001801,11347800,11347800,0
56,0.2626,2.0634,0.2587,0.001714,11347800,11347800,0
57,0.2596,2.06,0.2588,0.001283,11347800,11347800,0
58,0.261,2.0618,0.2538,0.001387,11347800,11347800,0
59,0.262,2.0567,0.2586,0.001659,11347800,11347800,0
60,0.2628,2.0558,0.2564,0.001774,11347800,11347800,0
