stage,epoch,val_acc,val_loss,test_acc,test_loss
1,1,0.2365,2.0569,0.2496,2.0501
1,2,0.319,1.8742,0.327,1.8678
1,3,0.2905,1.9716,0.2938,1.9745
1,4,0.287,1.9394,0.2934,1.938
1,5,0.3315,1.8095,0.3502,1.8056
1,6,0.3325,1.9957,0.3332,2.0017
1,7,0.39,1.6988,0.3936,1.6938
1,8,0.4,1.6573,0.3896,1.6476
1,9,0.3585,1.7854,0.3622,1.7889
1,10,0.404,1.6316,0.4194,1.6227
1,11,0.295,1.9594,0.303,1.9429
1,12,0.2975,2.0246,0.294,2.0285
1,13,0.3945,1.7312,0.3926,1.7308
1,14,0.3465,1.9649,0.3424,1.9451
1,15,0.418,1.6239,0.4252,1.6243
1,16,0.378,1.7908,0.3734,1.7968
1,17,0.446,1.5609,0.447,1.5612
1,18,0.4065,1.7246,0.4084,1.6987
1,19,0.425,1.7291,0.4166,1.7321
1,20,0.429,1.6546,0.4368,1.6387
1,21,0.2965,2.6576,0.292,2.6532
1,22,0.416,1.7147,0.429,1.6729
1,23,0.439,1.6264,0.447,1.6118
1,24,0.4505,1.6051,0.4628,1.5794
1,25,0.4375,1.7599,0.4264,1.7791
1,26,0.376,1.9839,0.378,1.9559
1,27,0.3725,2.0546,0.3854,2.0228
1,28,0.412,1.8373,0.4266,1.8253
1,29,0.427,1.8279,0.4264,1.8411
1,30,0.4125,1.9549,0.391,1.9729
2,1,,,0.273,2.0017
2,2,,,0.3002,1.9356
2,3,,,0.3074,1.9762
2,4,,,0.3954,1.7083
2,5,,,0.3766,1.7344
2,6,,,0.4294,1.592
2,7,,,0.403,1.6145
2,8,,,0.4388,1.5656
2,9,,,0.4196,1.6179
2,10,,,0.4452,1.5428
2,11,,,0.4644,1.497
2,12,,,0.4312,1.5965
2,13,,,0.4608,1.5261
2,14,,,0.4546,1.5463
2,15,,,0.4666,1.5066
2,16,,,0.4034,1.6499
2,17,,,0.4536,1.549
2,18,,,0.4736,1.4889
2,19,,,0.4642,1.5262
2,20,,,0.4498,1.595
2,21,,,0.4774,1.5341
2,22,,,0.472,1.5523
2,23,,,0.4496,1.7018
2,24,,,0.456,1.5985
