epoch,test_acc,test_loss
1,0.1756,2.4066
2,0.3044,1.8871
3,0.3162,1.8935
4,0.3556,1.8254
5,0.3824,1.7123
6,0.406,1.6869
7,0.4282,1.5789
8,0.3962,1.662
9,0.4278,1.578
10,0.4554,1.4864
11,0.4518,1.5187
12,0.4434,1.5541
13,0.4612,1.5013
14,0.4,1.6959
15,0.3788,1.8236
16,0.4414,1.5098
17,0.4712,1.4556
18,0.447,1.5719
19,0.483,1.471
20,0.4298,1.6078
21,0.4732,1.5041
22,0.4494,1.5669
23,0.4528,1.5832
24,0.4014,1.8204
25,0.4398,1.6734
26,0.4332,1.7162
27,0.4618,1.6872
28,0.4058,1.9156
29,0.4542,1.7132
30,0.4598,1.704
