round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0978,2.3076,0.0972,0.002083,11347800,11347800,0
2,0.1078,2.2994,0.1036,0.003412,11347800,11347800,0
3,0.1168,2.2931,0.1127,0.004122,11347800,11347800,0
4,0.1258,2.2879,0.1178,0.004544,11347800,11347800,0
5,0.1276,2.2831,0.1205,0.004445,11347800,11347800,0
6,0.1328,2.2774,0.1279,0.004463,11347800,11347800,0
7,0.1472,2.2713,0.1382,0.004273,11347800,11347800,0
8,0.1532,2.265,0.1479,0.004304,11347800,11347800,0
9,0.1556,2.259,0.1527,0.003963,11347800,11347800,0
10,0.157,2.253,0.1577,0.003203,11347800,11347800,0
11,0.164,2.2473,0.164,0.003051,11347800,11347800,0
12,0.1732,2.2411,0.1704,0.002734,11347800,11347800,0
13,0.1818,2.2355,0.177,0.002544,11347800,11347800,0
14,0.1896,2.2287,0.1856,0.002138,11347800,11347800,0
15,0.1952,2.2236,0.1865,0.002061,11347800,11347800,0
16,0.1964,2.219,0.1895,0.001996,11347800,11347800,0
17,0.204,2.2139,0.194,0.001849,11347800,11347800,0
18,0.208,2.2074,0.1998,0.00175,11347800,11347800,0
19,0.2142,2.2012,0.2055,0.002029,11347800,11347800,0
20,0.2224,2.1944,0.2103,0.001989,11347800,11347800,0
21,0.225,2.1889,0.2158,0.001966,11347800,11347800,0
22,0.2264,2.1832,0.2181,0.002092,11347800,11347800,0
23,0.23,2.177,0.2203,0.002,11347800,11347800,0
24,0.2372,2.1716,0.2276,0.001602,11347800,11347800,0
25,0.2368,2.1667,0.228,0.001749,11347800,11347800,0
26,0.2392,2.1618,0.2307,0.001828,11347800,11347800,0
27,0.2392,2.1561,0.229,0.002162,11347800,11347800,0
28,0.2406,2.1522,0.234,0.002125,11347800,11347800,0
29,0.2412,2.1471,0.2358,0.001739,11347800,11347800,0
30,0.2388,2.1418,0.234,0.002269,11347800,11347800,0
31,0.2426,2.138,0.2379,0.001834,11347800,11347800,0
32,0.24,2.1339,0.2376,0.002325,11347800,11347800,0
33,0.2466,2.1294,0.2422,0.002217,11347800,11347800,0
34,0.25,2.126,0.2428,0.002261,11347800,11347800,0
35,0.244,2.1226,0.2402,0.002068,11347800,11347800,0
36,0.251,2.1179,0.246,0.002061,11347800,11347800,0
37,0.2546,2.1145,0.2492,0.002196,11347800,11347800,0
38,0.2554,2.1105,0.2464,0.00196,11347800,11347800,0
39,0.2566,2.1053,0.247,0.002075,11347800,11347800,0
40,0.2556,2.1045,0.2484,0.002418,11347800,11347800,0
41,0.2564,2.1007,0.2496,0.002048,11347800,11347800,0
42,0.2604,2.0964,0.2515,0.002013,11347800,11347800,0
43,0.257,2.0947,0.2499,0.002059,11347800,11347800,0
44,0.2612,2.092,0.2519,0.002032,11347800,11347800,0
45,0.2608,2.0887,0.2517,0.001948,11347800,11347800,0
46,0.2632,2.0846,0.254,0.00166,11347800,11347800,0
47,0.2634,2.0821,0.2554,0.001955,11347800,11347800,0
48,0.2638,2.0785,0.2564,0.001769,11347800,11347800,0
49,0.2646,2.0765,0.2558,0.001945,11347800,11347800,0
50,0.2656,2.0716,0.261,0.001981,11347800,11347800,0
51,0.267,2.0696,0.2589,0.001846,11347800,11347800,0
52,0.2652,2.0675,0.2597,0.002247,11347800,11347800,0
53,0.2654,2.063,0.2608,0.001989,11347800,11347800,0
54,0.2652,2.0613,0.261,0.001869,11347800,11347800,0
55,0.2702,2.0594,0.263,0.002034,11347800,11347800,0
56,0.2698,2.0573,0.2629,0.001967,11347800,11347800,0
57,0.2674,2.0543,0.2635,0.001678,11347800,11347800,0
58,0.2624,2.0543,0.2629,0.001731,11347800,11347800,0
59,0.2674,2.0498,0.2655,0.001802,11347800,11347800,0
60,0.2658,2.0491,0.2637,0.002034,11347800,11347800,0
